RA vs C ,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA,,RA vs C,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA
LCORL,LCORL,LCORL,LCORL,LCORL,,-0.104020757,-0.151509308,0.178451155,-0.255276576,-0.275075326
LCP1,LCP1,LCP1,LCP1,LCP1,,0.182228364,-0.074129291,0.000486272,0.315063804,0.172219705
LCP2,LCP2,LCP2,LCP2,LCP2,,1.19898576,0.048595684,0.015484395,1.319405656,1.185818871
LCT,LCT,LCT,LCT,LCT,,0.275502455,-0.572993051,0.025100378,-1.882059253,0.035954483
LCTL,LCTL,LCTL,LCTL,LCTL,,0.519921183,0.68110823,0.173492218,-0.085592647,0.402736813
LDAH,LDAH,LDAH,LDAH,LDAH,,-0.066492154,0.111513875,0.075461592,-0.117405721,-0.111065203
LDB1,LDB1,LDB1,LDB1,LDB1,,-0.093791154,0.093745443,0.055948197,-0.134640555,-0.116318825
LDHA,LDHA,LDHA,LDHA,LDHA,,-0.470554832,-0.189964884,-0.202310941,-0.558231261,-0.430441753
LDHB,LDHB,LDHB,LDHB,LDHB,,-0.123599446,-0.087088668,-0.114410495,-0.191510726,-0.109954201
LDLR,LDLR,LDLR,LDLR,LDLR,,0.08873376,-0.0477446,0.038074949,0.167808011,0.20156353
LDLRAD3,LDLRAD3,LDLRAD3,LDLRAD3,LDLRAD3,,-0.765435082,-0.096920137,0.085004712,-1.282461406,-0.915645193
LDLRAD4,LDLRAD4,LDLRAD4,LDLRAD4,LDLRAD4,,-0.183276508,-0.038566823,-0.002747607,0.426395767,-0.136135103
LDLRAP1,LDLRAP1,LDLRAP1,LDLRAP1,LDLRAP1,,-0.206531691,0.177852337,0.037264447,-0.317124257,-0.24083741
LEAP2,LEAP2,LEAP2,LEAP2,LEAP2,,-1.687971669,1.064436869,0.140577595,-0.058937015,-0.272167813
LEKR1,LEKR1,LEKR1,LEKR1,LEKR1,,0.189772581,-0.494990539,-0.1675447,-0.441486661,-0.070960721
LEMD2,LEMD2,LEMD2,LEMD2,LEMD2,,0.020483549,-0.05141146,-0.10036304,0.276116967,0.293863856
LEMD3,LEMD3,LEMD3,LEMD3,LEMD3,,0.324368923,-0.094951393,0.182991351,0.019596388,-0.054931931
LENG1,LENG1,LENG1,LENG1,LENG1,,-0.01715009,0.282289571,-0.193913229,0.407965667,0.36281617
LENG8,LENG8,LENG8,LENG8,LENG8,,0.321608375,0.382915059,0.264395614,0.155536093,-0.026313321
LENG8-AS1,LENG8-AS1,LENG8-AS1,LENG8-AS1,LENG8-AS1,,0.638757413,0.42849044,0.267392357,0.328995625,0.065298444
LENG9,LENG9,LENG9,LENG9,LENG9,,-0.435908381,-0.066212984,-0.195926501,-0.213573397,-0.049320498
LEO1,LEO1,LEO1,LEO1,LEO1,,-0.253593923,0.161850169,0.069403019,-0.341515501,-0.292787408
LEPR,LEPR,LEPR,LEPR,LEPR,,0.266940442,-0.17657123,-0.475666995,1.047551419,0.371557514
LEPROT,LEPROT,LEPROT,LEPROT,LEPROT,,0.465627418,0.095906297,0.027850989,0.821172726,0.386242173
LEPROTL1,LEPROTL1,LEPROTL1,LEPROTL1,LEPROTL1,,0.115939163,-0.07138959,0.138947039,-0.039613577,-0.06084581
LETM1,LETM1,LETM1,LETM1,LETM1,,-0.213392224,-0.021329763,0.010653987,-0.427645631,-0.274023234
LETM2,LETM2,LETM2,LETM2,LETM2,,0.289308255,0.349839088,0.190007305,0.283950699,0.23299133
LETMD1,LETMD1,LETMD1,LETMD1,LETMD1,,-0.048234008,0.0104791,0.101582625,-0.165593638,-0.113260935
LFNG,LFNG,LFNG,LFNG,LFNG,,3.841849278,0.427006949,0.002380301,5.049803871,4.111921685
LGALS1,LGALS1,LGALS1,LGALS1,LGALS1,,0.494596164,0.639951032,-0.127105256,1.491741135,0.69630524
LGALS12,LGALS12,LGALS12,LGALS12,LGALS12,,0.343004709,0.144109809,-0.06391913,0.638220365,0.436835553
LGALS3,LGALS3,LGALS3,LGALS3,LGALS3,,1.230414566,1.442948492,1.597990046,0.278405419,0.270419736
LGALS3BP,LGALS3BP,LGALS3BP,LGALS3BP,LGALS3BP,,0.866144865,-0.167233366,-0.096023403,1.047409972,1.026494153
LGALS8,LGALS8,LGALS8,LGALS8,LGALS8,,0.420957415,-0.039795914,0.093965317,0.322495441,0.186570369
LGALS9,LGALS9,LGALS9,LGALS9,LGALS9,,0.4877085,0.189691896,-0.063279886,0.802438921,0.631008662
LGALS9C,LGALS9C,LGALS9C,LGALS9C,LGALS9C,,1.940413112,-0.018025291,-0.337469701,3.649322208,2.694165965
LGALSL,LGALSL,LGALSL,LGALSL,LGALSL,,0.073927939,-0.322586254,-0.056227677,0.160168983,0.197921962
LGR4,LGR4,LGR4,LGR4,LGR4,,-1.120082681,-0.438063471,-1.255007541,1.024831343,1.205879484
LGR5,LGR5,LGR5,LGR5,LGR5,,-0.255012261,-0.157955552,-1.652971527,0.965937654,-0.285973612
LHB,LHB,LHB,LHB,LHB,,-0.202544841,1.179914087,0.706924418,-0.17156587,-0.253552135
LHFPL2,LHFPL2,LHFPL2,LHFPL2,LHFPL2,,-1.372469843,-0.105488132,-0.752507201,-0.730056159,0.389591437
LHFPL4,LHFPL4,LHFPL4,LHFPL4,LHFPL4,,0.797455159,1.64939937,0.247492799,1.117940747,-0.642117423
LHPP,LHPP,LHPP,LHPP,LHPP,,0.100646691,0.110240559,0.033077099,0.470917278,0.04100771
LHX4,LHX4,LHX4,LHX4,LHX4,,-0.708184889,0.161461324,0.084997332,-1.279651618,-1.10788129
LHX4-AS1,LHX4-AS1,LHX4-AS1,LHX4-AS1,LHX4-AS1,,-0.325401589,0.136227552,0.267594005,-0.574355798,-0.334413967
LIAS,LIAS,LIAS,LIAS,LIAS,,-0.364238139,0.042974185,0.119015108,-0.4345537,-0.336630875
LIF,LIF,LIF,LIF,LIF,,5.789381858,0.579010042,1.273027891,5.61148022,4.835150881
LIG1,LIG1,LIG1,LIG1,LIG1,,-0.091673099,0.112975441,0.054463013,-0.143186512,-0.048011287
LIG3,LIG3,LIG3,LIG3,LIG3,,-0.039822184,-0.004584651,0.119970061,-0.237519297,-0.155929986
LIG4,LIG4,LIG4,LIG4,LIG4,,0.413815962,0.102033656,0.008539282,0.708044885,0.368240576
LILRA1,LILRA1,LILRA1,LILRA1,LILRA1,,1.282881986,0.040189323,-0.752507201,2.856708584,2.298988888
LILRA2,LILRA2,LILRA2,LILRA2,LILRA2,,0.730817966,0.192192416,-0.438616425,2.339757357,1.346554572
LILRA4,LILRA4,LILRA4,LILRA4,LILRA4,,1.519921183,1.442948492,0.8324553,-1.203987348,-1.285973612
LILRA5,LILRA5,LILRA5,LILRA5,LILRA5,,7.302983192,-0.420989958,-0.1675447,8.570329089,7.644693334
LILRA6,LILRA6,LILRA6,LILRA6,LILRA6,,1.289308255,1.064436869,1.154383395,1.350601504,0.714026388
LILRB1,LILRB1,LILRB1,LILRB1,LILRB1,,1.484297273,-0.205652294,-0.277169191,1.914407353,1.569386683
LILRB2,LILRB2,LILRB2,LILRB2,LILRB2,,3.909348039,-0.207935401,0.100651411,4.994019118,4.023827527
LILRB3,LILRB3,LILRB3,LILRB3,LILRB3,,2.242240001,0.594951586,0.325495311,3.173793982,1.843309405
LIMA1,LIMA1,LIMA1,LIMA1,LIMA1,,-0.050481233,0.099706497,0.014699658,-0.049852455,-0.101602377
LIMCH1,LIMCH1,LIMCH1,LIMCH1,LIMCH1,,0.96738016,1.64939937,0.095489706,-0.467021754,1.205879484
LIMD1,LIMD1,LIMD1,LIMD1,LIMD1,,-0.175736045,-0.072924244,0.073244278,-0.255517648,-0.255562299
LIMD2,LIMD2,LIMD2,LIMD2,LIMD2,,0.615030464,0.232894426,-0.125972914,1.172724477,0.812049337
LIME1,LIME1,LIME1,LIME1,LIME1,,0.101397508,0.240495988,0.034644151,0.444301088,0.229524069
LIMK1,LIMK1,LIMK1,LIMK1,LIMK1,,0.351559159,0.176615373,0.031749409,0.905600842,0.472070853
LIMK2,LIMK2,LIMK2,LIMK2,LIMK2,,0.159534609,0.119302465,0.076064719,0.31006782,0.116527906
LIMS1,LIMS1,LIMS1,LIMS1,LIMS1,,0.236845455,-0.154373536,0.012256846,0.377989395,0.262745368
LIN37,LIN37,LIN37,LIN37,LIN37,,-0.036371975,0.014881045,-0.021549715,0.209779614,0.199090318
LIN52,LIN52,LIN52,LIN52,LIN52,,0.054060113,0.055857884,-0.005880032,-0.03519565,-0.186862823
LIN54,LIN54,LIN54,LIN54,LIN54,,0.118444828,-0.118191772,0.116774666,-0.123467573,-0.091077799
LIN7A,LIN7A,LIN7A,LIN7A,LIN7A,,0.105421101,0.048831981,0.055903172,0.044573066,0.034054116
LIN7B,LIN7B,LIN7B,LIN7B,LIN7B,,0.539387006,0.491858093,0.433905923,0.773986346,0.507260202
LIN7C,LIN7C,LIN7C,LIN7C,LIN7C,,0.110695564,-0.115503941,-0.02157672,0.05991319,0.175180495
LIN9,LIN9,LIN9,LIN9,LIN9,,-0.170708754,-0.108417463,-0.1186351,-0.178286837,-0.102492287
LINC00094,LINC00094,LINC00094,LINC00094,LINC00094,,-0.281817611,-0.039185762,-0.006428619,-0.552994977,-0.245248831
LINC00106,LINC00106,LINC00106,LINC00106,LINC00106,,1.321017115,0.64939937,0.247492799,1.403342966,1.035954483
LINC00115,LINC00115,LINC00115,LINC00115,LINC00115,,-0.049298581,0.835812494,-0.270638193,0.450516086,0.303434793
LINC00116,LINC00116,LINC00116,LINC00116,LINC00116,,-0.075873038,0.390012741,-0.126395528,0.171449154,0.082114682
LINC00152,LINC00152,LINC00152,LINC00152,LINC00152,,0.955456993,0.314550048,0.236317724,0.718524229,0.782758705
LINC00174,LINC00174,LINC00174,LINC00174,LINC00174,,0.496588679,0.773987006,0.661469103,-0.143184069,-0.002777912
LINC00176,LINC00176,LINC00176,LINC00176,LINC00176,,0.413444555,0.398855908,0.331261157,0.161662125,0.057980789
LINC00235,LINC00235,LINC00235,LINC00235,LINC00235,,0.867844487,1.442948492,0.8324553,-0.203987348,-0.116048611
LINC00242,LINC00242,LINC00242,LINC00242,LINC00242,,0.645452065,-0.257491226,-0.1675447,-0.619024847,1.52138131
LINC00260,LINC00260,LINC00260,LINC00260,LINC00260,,1.552342661,1.587998825,2.041908666,-0.447656429,-0.588536382
LINC00265,LINC00265,LINC00265,LINC00265,LINC00265,,0.600153718,0.152112387,0.134724869,0.779052587,0.609139816
LINC00294,LINC00294,LINC00294,LINC00294,LINC00294,,0.481350829,-0.000241188,-0.046286983,0.333592517,0.2985273
LINC00304,LINC00304,LINC00304,LINC00304,LINC00304,,1.060489564,0.912433776,1.095489706,0.439868842,0.910423601
LINC00310,LINC00310,LINC00310,LINC00310,LINC00310,,1.382417659,0.579010042,-0.652971527,3.153564657,1.961953901
LINC00324,LINC00324,LINC00324,LINC00324,LINC00324,,-1.67647603,-0.491956479,-0.81140089,0.702903248,0.123417324
LINC00337,LINC00337,LINC00337,LINC00337,LINC00337,,0.382417659,0.442948492,-0.682117873,2.011025543,1.316062402
LINC00339,LINC00339,LINC00339,LINC00339,LINC00339,,0.106207865,0.031270005,0.059524209,-0.008864038,-0.229883996
LINC00341,LINC00341,LINC00341,LINC00341,LINC00341,,-0.768088086,-0.254124375,0.049830989,-0.97795468,-0.789489067
LINC00342,LINC00342,LINC00342,LINC00342,LINC00342,,-0.170683742,0.380188794,0.181578683,-0.468121788,-0.266315087
LINC00399,LINC00399,LINC00399,LINC00399,LINC00399,,-0.269659037,0.852932764,0.180378603,0.117940747,-0.771400439
LINC00426,LINC00426,LINC00426,LINC00426,LINC00426,,0.034494356,-1.420989958,-0.389937121,0.233417965,-0.227079923
LINC00431,LINC00431,LINC00431,LINC00431,LINC00431,,-0.124542329,0.106562345,0.013027546,-0.173662811,-0.255649075
LINC00467,LINC00467,LINC00467,LINC00467,LINC00467,,-0.333789375,-0.086570919,-0.072196823,0.562040712,0.504507491
LINC00471,LINC00471,LINC00471,LINC00471,LINC00471,,0.003906036,1.007853341,1.176409701,-1.604525277,-1.307999919
LINC00476,LINC00476,LINC00476,LINC00476,LINC00476,,0.070280068,0.119508252,-0.101706887,0.746918103,0.456345216
LINC00493,LINC00493,LINC00493,LINC00493,LINC00493,,-0.06494954,0.160131015,-0.000876475,0.192435934,-0.060757158
LINC00504,LINC00504,LINC00504,LINC00504,LINC00504,,1.341775675,0.538368057,0.469885221,0.354979945,0.438052926
LINC00514,LINC00514,LINC00514,LINC00514,LINC00514,,-0.465579247,-0.29813321,-1.015541607,0.603367574,-1.285973612
LINC00526,LINC00526,LINC00526,LINC00526,LINC00526,,0.943132614,0.386364964,-0.06320804,1.117940747,0.799514287
LINC00528,LINC00528,LINC00528,LINC00528,LINC00528,,-0.406078235,0.018143217,-0.229605668,0.749697459,0.269626829
LINC00539,LINC00539,LINC00539,LINC00539,LINC00539,,0.759487308,0.511895846,0.307135746,0.923368221,0.818049452
LINC00562,LINC00562,LINC00562,LINC00562,LINC00562,,-0.227635822,-0.986189204,0.164298864,-1.071883812,-1.398982574
LINC00563,LINC00563,LINC00563,LINC00563,LINC00563,,0.003906036,0.171352073,0.038906177,-0.32951823,-0.549008018
LINC00565,LINC00565,LINC00565,LINC00565,LINC00565,,0.014685875,-0.170028384,-0.204070576,-0.123067352,-0.039994371
LINC00618,LINC00618,LINC00618,LINC00618,LINC00618,,-1.340048365,-0.97995725,-0.124475978,-0.799597093,-0.351068641
LINC00623,LINC00623,LINC00623,LINC00623,LINC00623,,0.391577659,0.229247739,0.25893374,0.204196481,-0.169444868
LINC00630,LINC00630,LINC00630,LINC00630,LINC00630,,0.405876632,0.087895842,0.393571059,-0.318629914,-0.055019177
LINC00638,LINC00638,LINC00638,LINC00638,LINC00638,,-0.12854426,0.65781161,0.35711729,0.460828461,0.137834097
LINC00641,LINC00641,LINC00641,LINC00641,LINC00641,,0.618254803,0.106518458,0.22984728,0.242120158,0.181226302
LINC00645,LINC00645,LINC00645,LINC00645,LINC00645,,0.205539897,-0.051040348,0.379943095,-0.737669343,-0.511533313
LINC00649,LINC00649,LINC00649,LINC00649,LINC00649,,1.420687676,0.139987902,0.14504553,1.497412887,1.448648041
LINC00657,LINC00657,LINC00657,LINC00657,LINC00657,,0.192878695,-0.05443648,0.22465157,-0.034908207,-0.015571902
LINC00659,LINC00659,LINC00659,LINC00659,LINC00659,,1.218918927,-0.572993051,-0.515468003,1.943911347,1.220379054
LINC00662,LINC00662,LINC00662,LINC00662,LINC00662,,-0.295654246,0.175468182,0.083416874,-0.301143585,-0.211404854
LINC00663,LINC00663,LINC00663,LINC00663,LINC00663,,0.085435922,0.592368425,0.078615887,0.17343586,0.063968859
LINC00667,LINC00667,LINC00667,LINC00667,LINC00667,,0.179900606,0.126646532,0.17785376,0.079917301,-0.052898908
LINC00672,LINC00672,LINC00672,LINC00672,LINC00672,,1.289308255,0.187819285,0.253919068,1.348553675,0.601551658
LINC00674,LINC00674,LINC00674,LINC00674,LINC00674,,0.704345754,0.386364964,-0.582582199,-0.467021754,-0.227079923
LINC00683,LINC00683,LINC00683,LINC00683,LINC00683,,-1.141144297,-0.211197573,0.556820857,-0.808058671,-1.211973031
LINC00685,LINC00685,LINC00685,LINC00685,LINC00685,,1.189772581,1.587998825,0.639810222,0.011025543,-0.601475438
LINC00847,LINC00847,LINC00847,LINC00847,LINC00847,,-0.089451063,0.183244299,-0.17374985,0.76378549,0.166658174
LINC00852,LINC00852,LINC00852,LINC00852,LINC00852,,-0.515012607,-0.165568736,-0.311135554,0.230834804,-0.104908053
LINC00854,LINC00854,LINC00854,LINC00854,LINC00854,,0.633956426,0.257081947,0.083994067,0.380975153,0.784415716
LINC00861,LINC00861,LINC00861,LINC00861,LINC00861,,-0.810227419,0.619025721,-0.309563705,-1.740040248,-0.42970909
LINC00869,LINC00869,LINC00869,LINC00869,LINC00869,,-0.245613563,0.620830218,0.12003189,0.028303535,-0.230560492
LINC00883,LINC00883,LINC00883,LINC00883,LINC00883,,-0.524472936,0.045071544,0.11143125,-1.689414175,-0.613859162
LINC00884,LINC00884,LINC00884,LINC00884,LINC00884,,-1.021972596,-0.069864223,-0.290163987,-0.882059253,-0.426388731
LINC00886,LINC00886,LINC00886,LINC00886,LINC00886,,0.262123426,-0.878979602,-0.004045968,1.460332945,0.620916983
LINC00888,LINC00888,LINC00888,LINC00888,LINC00888,,0.120976512,-0.00078079,0.006801681,0.230018107,0.170726389
LINC00894,LINC00894,LINC00894,LINC00894,LINC00894,,-0.733059558,0.493280168,0.176409701,0.565399724,0.239487877
LINC00909,LINC00909,LINC00909,LINC00909,LINC00909,,-0.204188938,0.125563528,0.115074102,-0.141855285,-0.293422418
LINC00910,LINC00910,LINC00910,LINC00910,LINC00910,,0.896990832,0.386364964,-0.020703312,1.117940747,0.541189791
LINC00920,LINC00920,LINC00920,LINC00920,LINC00920,,0.345891783,-0.798059607,-0.845616605,1.900349312,1.714026388
LINC00921,LINC00921,LINC00921,LINC00921,LINC00921,,-0.202544841,0.015527269,-0.319547793,0.917642097,0.673384403
LINC00926,LINC00926,LINC00926,LINC00926,LINC00926,,0.103081441,0.302948956,0.030089841,0.083611949,0.029343103
LINC00936,LINC00936,LINC00936,LINC00936,LINC00936,,0.481953333,0.579010042,0.931990974,0.255444271,-0.783473272
LINC00938,LINC00938,LINC00938,LINC00938,LINC00938,,0.471525133,0.111613663,0.222296646,0.499030915,0.101542824
LINC00958,LINC00958,LINC00958,LINC00958,LINC00958,,0.382417659,0.801402463,0.417417801,-1.467021754,-0.549008018
LINC00959,LINC00959,LINC00959,LINC00959,LINC00959,,-0.671449213,0.049250465,-0.086762045,-0.032476095,-0.264704996
LINC00963,LINC00963,LINC00963,LINC00963,LINC00963,,0.640569844,-0.03649204,-0.138593326,1.355269439,0.649298785
LINC00969,LINC00969,LINC00969,LINC00969,LINC00969,,-0.117655944,-0.010330899,0.121961917,-0.246333638,-0.56098066
LINC00977,LINC00977,LINC00977,LINC00977,LINC00977,,-1.617582341,-0.613635036,-0.752507201,-0.560131158,-2.964045517
LINC00987,LINC00987,LINC00987,LINC00987,LINC00987,,-0.141144297,0.216439963,-0.126322037,-0.294840778,-0.113792637
LINC00997,LINC00997,LINC00997,LINC00997,LINC00997,,0.029628601,0.200320297,0.077567798,0.109327617,-0.14934862
LINC00998,LINC00998,LINC00998,LINC00998,LINC00998,,-0.680946426,-0.104806373,-0.220067226,-0.428202505,-0.510939977
LINC00999,LINC00999,LINC00999,LINC00999,LINC00999,,0.090236908,0.015527269,-0.430579106,0.356727607,0.436492412
LINC01000,LINC01000,LINC01000,LINC01000,LINC01000,,0.38908139,0.102664922,0.241469012,0.322982448,0.13790269
LINC01001,LINC01001,LINC01001,LINC01001,LINC01001,,0.552342661,0.393560465,0.393170254,0.614676065,0.005060475
LINC01002,LINC01002,LINC01002,LINC01002,LINC01002,,0.555482368,0.571920617,0.445432177,0.532978246,0.081469142
LINC01003,LINC01003,LINC01003,LINC01003,LINC01003,,0.371102346,0.321824712,0.002380301,1.046047829,0.698919495
LINC01004,LINC01004,LINC01004,LINC01004,LINC01004,,0.382417659,0.175468182,0.250375308,0.573440243,-0.016832932
LINC01011,LINC01011,LINC01011,LINC01011,LINC01011,,0.106783217,-0.289200085,-0.1675447,0.501269387,0.212832245
LINC01012,LINC01012,LINC01012,LINC01012,LINC01012,,0.179600776,0.087895842,-0.240301042,0.304353871,0.620916983
LINC01024,LINC01024,LINC01024,LINC01024,LINC01024,,0.428221349,0.358168072,0.46322149,-0.145093659,-0.227079923
LINC01061,LINC01061,LINC01061,LINC01061,LINC01061,,-0.157557387,0.087105944,0.105248672,-0.141855285,-0.182391106
LINC01088,LINC01088,LINC01088,LINC01088,LINC01088,,-0.465579247,0.353943486,0.121961917,1.182071085,0.48341346
LINC01089,LINC01089,LINC01089,LINC01089,LINC01089,,0.686978622,0.624524701,0.437824011,0.238397072,0.21485708
LINC01106,LINC01106,LINC01106,LINC01106,LINC01106,,0.286202344,-0.007116392,0.028006109,0.158018187,-0.00526818
LINC01119,LINC01119,LINC01119,LINC01119,LINC01119,,0.704345754,0.64939937,0.002380301,0.269943841,0.673384403
LINC01123,LINC01123,LINC01123,LINC01123,LINC01123,,-0.363991376,0.199137228,0.179828411,-0.649613167,-0.393276898
LINC01125,LINC01125,LINC01125,LINC01125,LINC01125,,-0.053681455,0.447765509,0.630821439,0.153564657,-0.241579493
LINC01126,LINC01126,LINC01126,LINC01126,LINC01126,,0.519921183,0.064436869,-0.1675447,0.49645237,0.620916983
LINC01128,LINC01128,LINC01128,LINC01128,LINC01128,,-0.449974484,-0.033173927,0.004421755,-0.627390428,-0.491420527
LINC01134,LINC01134,LINC01134,LINC01134,LINC01134,,-0.617582341,0.163972543,-0.652971527,0.702903248,0.714026388
LINC01138,LINC01138,LINC01138,LINC01138,LINC01138,,-0.270521635,0.213418611,0.013737533,-0.039395791,0.088231761
LINC01144,LINC01144,LINC01144,LINC01144,LINC01144,,-0.617582341,0.327471275,-0.582582199,-0.467021754,-0.285973612
LINC01160,LINC01160,LINC01160,LINC01160,LINC01160,,1.926738176,-0.061094013,-0.752507201,3.095220671,1.620916983
LINC01169,LINC01169,LINC01169,LINC01169,LINC01169,,-1.002246191,0.26473552,0.386390905,-0.34672752,-0.750641879
LINC01176,LINC01176,LINC01176,LINC01176,LINC01176,,1.497894877,0.938905987,1.054847721,0.63251392,0.398524562
LINC01215,LINC01215,LINC01215,LINC01215,LINC01215,,-1.296832437,-0.130734083,0.04556448,-2.039340045,-1.457963805
LINC01221,LINC01221,LINC01221,LINC01221,LINC01221,,0.160025238,-3.742918053,0.195025379,-1.051984254,-1.133970519
LINC01222,LINC01222,LINC01222,LINC01222,LINC01222,,0.797455159,0.801402463,0.680452207,-0.730056159,-0.397004925
LINC01232,LINC01232,LINC01232,LINC01232,LINC01232,,0.077563078,0.28682929,0.440137877,-0.837665133,0.123417324
LINC01237,LINC01237,LINC01237,LINC01237,LINC01237,,-1.094020385,-0.077582136,0.190007305,-1.285414947,-1.414706926
LINC01252,LINC01252,LINC01252,LINC01252,LINC01252,,0.934958682,0.245009115,0.510527205,0.620441088,0.910423601
LINC01272,LINC01272,LINC01272,LINC01272,LINC01272,,4.922986041,0.412360173,-0.305048224,6.21597283,5.540574875
LINC01277,LINC01277,LINC01277,LINC01277,LINC01277,,0.189772581,-0.613635036,-0.360189778,-1.104451674,1.316062402
LINC01278,LINC01278,LINC01278,LINC01278,LINC01278,,-0.077013959,-0.111859138,0.001487821,0.150891169,0.064243527
LINC01296,LINC01296,LINC01296,LINC01296,LINC01296,,-0.299707576,-0.037992878,0.107486241,-0.506749245,-0.449090098
LINC01311,LINC01311,LINC01311,LINC01311,LINC01311,,-0.134640777,0.318754058,0.042378369,-0.512825443,-0.320189328
LINC01314,LINC01314,LINC01314,LINC01314,LINC01314,,-0.255012261,0.780643903,0.668956568,-0.13359802,-0.907461989
LINC01341,LINC01341,LINC01341,LINC01341,LINC01341,,-1.890600835,-0.149687936,-0.270638193,-0.389019242,-1.911578098
LINC01347,LINC01347,LINC01347,LINC01347,LINC01347,,-0.617582341,-1.189319723,-0.477884821,0.255444271,0.173458006
LINC01355,LINC01355,LINC01355,LINC01355,LINC01355,,-0.345502795,-0.078521085,-0.20430325,-0.485758316,-0.240169923
LINC01366,LINC01366,LINC01366,LINC01366,LINC01366,,1.382417659,-0.450136304,0.317882127,0.310585825,1.357882577
LINC01372,LINC01372,LINC01372,LINC01372,LINC01372,,-0.480078817,-0.450136304,-0.030041176,-0.093563358,-0.031159713
LINC01389,LINC01389,LINC01389,LINC01389,LINC01389,,0.244914136,-0.073066655,-0.819621397,1.834147781,1.135490156
LINC01399,LINC01399,LINC01399,LINC01399,LINC01399,,-1.230559218,-0.466077848,-0.475666995,-0.573936957,-0.227079923
LINC01410,LINC01410,LINC01410,LINC01410,LINC01410,,0.446249271,0.154322373,0.051900437,0.79342883,0.380713286
LINC01420,LINC01420,LINC01420,LINC01420,LINC01420,,0.080689179,0.002083556,-0.133524591,0.486188234,0.222089711
LINC01424,LINC01424,LINC01424,LINC01424,LINC01424,,-2.161902857,-1.064846148,-1.209364876,0.117940747,0.118416643
LINC01431,LINC01431,LINC01431,LINC01431,LINC01431,,0.645452065,-1.257491226,-0.1675447,-0.203987348,0.883951389
LINC01481,LINC01481,LINC01481,LINC01481,LINC01481,,0.269207049,-0.139921629,-0.686011789,1.230415476,0.892590307
LINC01504,LINC01504,LINC01504,LINC01504,LINC01504,,-0.287433739,-0.064846148,-2.126902716,2.340333169,1.566469199
LINC01521,LINC01521,LINC01521,LINC01521,LINC01521,,0.4423602,-0.063480606,0.138558428,0.554039862,0.36915369
LINC01530,LINC01530,LINC01530,LINC01530,LINC01530,,-0.411131463,0.64939937,0.746725426,-0.689414175,-0.823867859
LINC01534,LINC01534,LINC01534,LINC01534,LINC01534,,0.043615746,0.08111561,0.085670645,-0.11032824,-0.251208194
LINC01547,LINC01547,LINC01547,LINC01547,LINC01547,,0.955602992,0.064436869,-0.437633863,1.744723424,1.340809064
LINC01560,LINC01560,LINC01560,LINC01560,LINC01560,,0.782025118,0.31720294,0.322260568,0.565399724,0.201013729
LINC01569,LINC01569,LINC01569,LINC01569,LINC01569,,0.578814872,0.501842181,0.224772723,0.094857134,0.208421679
LINC01572,LINC01572,LINC01572,LINC01572,LINC01572,,-0.06824375,-0.163832119,0.189148813,0.090195757,-0.218859416
LINC01578,LINC01578,LINC01578,LINC01578,LINC01578,,-0.064808794,-0.089272546,-0.205558026,0.310257505,0.270551044
LINC01590,LINC01590,LINC01590,LINC01590,LINC01590,,0.092911042,0.064436869,-0.305048224,1.005466018,0.298988888
LINC01599,LINC01599,LINC01599,LINC01599,LINC01599,,0.552342661,-0.935563131,-0.582582199,1.532978246,0.772920077
LINC01602,LINC01602,LINC01602,LINC01602,LINC01602,,0.136257072,0.001358187,-0.018630891,-0.112981473,-0.261822713
LINC01604,LINC01604,LINC01604,LINC01604,LINC01604,,0.353271314,0.035290523,0.563638542,-0.556658966,-0.294690829
LINC-PINT,LINC-PINT,LINC-PINT,LINC-PINT,LINC-PINT,,-0.824907314,-0.324334975,-0.02694637,-0.671492267,-0.406828007
LINCR-0001,LINCR-0001,LINCR-0001,LINCR-0001,LINCR-0001,,1.230414566,1.742508774,0.8324553,0.965937654,0.414466106
LINGO3,LINGO3,LINGO3,LINGO3,LINGO3,,-0.461396004,0.115875296,-0.103528207,0.130410099,0.005580834
LINS,LINS,LINS,LINS,LINS,,-0.193084512,-0.063067604,-0.199072782,-0.079265119,-0.020573612
LIPA,LIPA,LIPA,LIPA,LIPA,,0.10239799,-0.15630911,-0.038791296,0.320720579,0.063932639
LIPE,LIPE,LIPE,LIPE,LIPE,,0.671924277,1.216439963,0.662530299,1.327394113,1.428271905
LIPN,LIPN,LIPN,LIPN,LIPN,,0.505274407,-0.620061305,0.469885221,0.292438478,-0.162591197
LIPT1,LIPT1,LIPT1,LIPT1,LIPT1,,-0.499828809,-0.059172213,0.062683561,-0.116524506,-0.536439345
LIPT2,LIPT2,LIPT2,LIPT2,LIPT2,,-0.497742571,-0.23774729,-0.4147624,-0.197261484,0.338881616
LITAF,LITAF,LITAF,LITAF,LITAF,,0.510829099,0.14040076,0.03255845,0.55765328,0.450991982
LIX1L,LIX1L,LIX1L,LIX1L,LIX1L,,-0.234005996,0.048557255,-0.019774638,-0.224466424,-0.173498883
LKAAEAR1,LKAAEAR1,LKAAEAR1,LKAAEAR1,LKAAEAR1,,-1.824033218,-1.035098804,-0.346514841,-0.802624785,-1.232534353
