RA vs C ,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA,,RA vs C,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA
ACAD10,ACAD10,ACAD10,ACAD10,ACAD10,,0.15072949,0.126995182,0.06907326,0.346554953,0.041840639
ACAD11,ACAD11,ACAD11,ACAD11,ACAD11,,-0.110622352,-0.033743525,0.010792541,-0.004543259,0.310129446
ACAD8,ACAD8,ACAD8,ACAD8,ACAD8,,-0.14119178,-0.02811552,0.0075203,-0.111309083,-0.095706667
ACAD9,ACAD9,ACAD9,ACAD9,ACAD9,,-0.252697766,0.11989198,0.087043716,-0.235729117,-0.117662051
ACADM,ACADM,ACADM,ACADM,ACADM,,-0.146544102,-0.073999231,0.017159526,-0.094790319,-0.18674867
ACADS,ACADS,ACADS,ACADS,ACADS,,-0.617582341,0.064436869,-0.043555983,0.697234498,0.354484001
ACADSB,ACADSB,ACADSB,ACADSB,ACADSB,,0.105450473,0.11843625,0.251613611,-0.326752655,-0.272050248
ACADVL,ACADVL,ACADVL,ACADVL,ACADVL,,0.026563809,0.110280205,-0.027571794,0.009696401,0.103434984
ACAP1,ACAP1,ACAP1,ACAP1,ACAP1,,0.203870858,0.173831819,-0.011601839,0.554901185,0.293238282
ACAP2,ACAP2,ACAP2,ACAP2,ACAP2,,0.301506335,-0.089847641,0.121223871,0.151325709,0.10355516
ACAP3,ACAP3,ACAP3,ACAP3,ACAP3,,-0.183618338,0.223868092,0.074750668,-0.045714172,-0.21386549
ACAT1,ACAT1,ACAT1,ACAT1,ACAT1,,0.113341447,0.086917023,0.068080984,0.000885647,-0.035771293
ACAT2,ACAT2,ACAT2,ACAT2,ACAT2,,-0.162795177,-0.212974535,-0.198558727,-0.005758513,0.082570669
ACBD3,ACBD3,ACBD3,ACBD3,ACBD3,,0.12116483,0.022666628,0.06481801,0.113960896,0.176640556
ACBD4,ACBD4,ACBD4,ACBD4,ACBD4,,0.515055428,0.177445831,0.050260452,1.131659028,0.605519878
ACBD5,ACBD5,ACBD5,ACBD5,ACBD5,,0.174684956,-0.0460308,0.153870801,0.099365018,0.086333031
ACBD6,ACBD6,ACBD6,ACBD6,ACBD6,,-0.444644723,-0.022699785,-0.095267613,-0.492060477,-0.359904518
ACD,ACD,ACD,ACD,ACD,,-0.332151184,0.110346359,-0.072555562,-0.23685117,-0.217951134
ACER2,ACER2,ACER2,ACER2,ACER2,,-0.424937263,0.626315757,0.140577595,-0.334571457,-0.857130313
ACER3,ACER3,ACER3,ACER3,ACER3,,0.175306056,-0.083120319,0.077245732,0.187271351,0.051811074
ACIN1,ACIN1,ACIN1,ACIN1,ACIN1,,0.052884589,0.113498736,0.069499721,0.016533745,0.071565906
ACKR4,ACKR4,ACKR4,ACKR4,ACKR4,,0.119383254,-3.520525632,-0.430579106,1.380975153,0.714026388
ACLY,ACLY,ACLY,ACLY,ACLY,,-0.118672902,-0.128256037,-0.029577952,-0.263779303,-0.033649057
ACO1,ACO1,ACO1,ACO1,ACO1,,-0.015405285,-0.078271332,0.017838685,0.010349523,-0.019575086
ACO2,ACO2,ACO2,ACO2,ACO2,,0.005056825,-0.013576864,0.027673242,-0.138335303,-0.042342079
